pid,label,publication,location,full_date,month_day,volume-notes,year,full,thumb,index_terms,toc,manifest_all,manifest_indiv
obj11,A Discourse on the Resurrection of the Dead. By Maimonides. Translated for The Jewish Messenger by S. Morais.,The Jewish Messenger,New York," September 16, 1859",16-Sep,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8732459--175c1d60e4b5907aeee7e664e5957e14ecb7a6f151bda045d13a71325065d164.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8732459--175c1d60e4b5907aeee7e664e5957e14ecb7a6f151bda045d13a71325065d164.jpeg/full/!200,200/0/default.jpg",Jewish Messenger|Discourse on the Resurrection of the Dead,25,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8732459--175c1d60e4b5907aeee7e664e5957e14ecb7a6f151bda045d13a71325065d164.jpeg
obj12,A Discourse on the Resurrection of the Dead. By Maimonides. Translated for The Jewish Messenger by S. Morais.,The Jewish Messenger,New York," September 23, 1859",23-Sep,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8377723--11c54698a91704f9212655a7beb6c4a857598a2e95afda222815fca48bddb5ca.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8377723--11c54698a91704f9212655a7beb6c4a857598a2e95afda222815fca48bddb5ca.jpeg/full/!200,200/0/default.jpg",Jewish Messenger|Discourse on the Resurrection of the Dead,26,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8377723--11c54698a91704f9212655a7beb6c4a857598a2e95afda222815fca48bddb5ca.jpeg
obj13,A Discourse on the Resurrection of the Dead. By Maimonides. Translated for The Jewish Messenger by S. Morais.,The Jewish Messenger,New York," September 27, 1859",27-Sep,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8086156--8e4c4b489b73ce78994965f216ca59ce1aff82e3c698d011f77caadf096a9fb7.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8086156--8e4c4b489b73ce78994965f216ca59ce1aff82e3c698d011f77caadf096a9fb7.jpeg/full/!200,200/0/default.jpg",Jewish Messenger|Discourse on the Resurrection of the Dead,27,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8086156--8e4c4b489b73ce78994965f216ca59ce1aff82e3c698d011f77caadf096a9fb7.jpeg
obj14,A Discourse on the Resurrection of the Dead. By Maimonides. Translated for The Jewish Messenger by S. Morais.,The Jewish Messenger,New York," October 7, 1859",7-Oct,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8047746--288285d198cce0467800fef9234c7f7f3fcce19bd504c997eaaed6a64ad4667b.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8047746--288285d198cce0467800fef9234c7f7f3fcce19bd504c997eaaed6a64ad4667b.jpeg/full/!200,200/0/default.jpg","Jewish Messenger|Discourse on the Resurrection of the Dead|Reggio, Isaac Samuel",28,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8047746--288285d198cce0467800fef9234c7f7f3fcce19bd504c997eaaed6a64ad4667b.jpeg
obj15,A Discourse on the Resurrection of the Dead. By Maimonides. Translated for The Jewish Messenger by S. Morais.,The Jewish Messenger,New York," October 12, 1859",12-Oct,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7867310--450a22755f4c26f89c656083dcfd49b5eb901794279eeded29c4ad618a47f59c.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7867310--450a22755f4c26f89c656083dcfd49b5eb901794279eeded29c4ad618a47f59c.jpeg/full/!200,200/0/default.jpg","Jewish Messenger|Discourse on the Resurrection of the Dead|Rubinstein, Isaac",29,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7867310--450a22755f4c26f89c656083dcfd49b5eb901794279eeded29c4ad618a47f59c.jpeg
obj16,"Letter from Rev. S. Morais. Philadelphia, 18th January, 5620. To Rev. S.M. Isaacs & Son.",The Jewish Messenger,New York," January 27, 1860",27-Jan,,1860,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8323131--77039dd36b0bb1f52023aaa38136c6d2f3528ff067f54c176c21396113e223f6.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8323131--77039dd36b0bb1f52023aaa38136c6d2f3528ff067f54c176c21396113e223f6.jpeg/full/!200,200/0/default.jpg","Higher biblical criticism|Jewish Messenger|Luzzatto, S.D. Prof.",30,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8323131--77039dd36b0bb1f52023aaa38136c6d2f3528ff067f54c176c21396113e223f6.jpeg
obj17,"[Account of...] the consecration ceremony of the new Synagogue of the congregation Mikveh Israel... [Excerpted...] from The Philadelphia Inquirer, of May 25th.",The Jewish Messenger,New York," June 1, 1860",1-Jun,,1860,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5440456--2164431ca3b0fd89be5cb44f14ab85524d615479c06f1a9bfe4b2f0debcc7310.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5440456--2164431ca3b0fd89be5cb44f14ab85524d615479c06f1a9bfe4b2f0debcc7310.jpeg/full/!200,200/0/default.jpg","Breidenbach, Rev. J.|Crown Street|Julianna Street|Leghorn|Etting, Ruben|Franks, Levi|Gratz, Michael|Gratz, Rebecca|Gratz, Simeon|Hassler, Mark|Higher biblical criticism|Isaacs, S. Meyer Rev|Jewish Messenger|Leeser, Rev I.|Madison, James|Mikveh Israel|Morris, Robert|Pape, Rev. G.|Jews move west in|Sabbath School|Solomon, Hayim|Architecture, see|Vadaver, H.|Washington, George",31,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5440456--2164431ca3b0fd89be5cb44f14ab85524d615479c06f1a9bfe4b2f0debcc7310.jpeg
obj18,"Correspondence. The Chalizah Question. [Letter to] Rev. S. M. Isaacs & Son, Editors of The Jewish Messenger.",The Jewish Messenger,New York," September 14, 1860",14-Sep,,1860,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg/full/!200,200/0/default.jpg","Chalizah|Shaarei Shamayim (London)|Jewish Messenger|Kalisch, Dr. Isidor",32,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg
obj19,"Correspondence. A refutation by S. Morais of ""A Polemic Essay,"" by Rev. Jacob M. de Solla of Montego Bay, in which he permits Mamzerim to marry indiscriminately among Israelites.",The Jewish Messenger,New York," August 9, 1861",9-Aug,,1861,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg/full/!200,200/0/default.jpg","Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de",33,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8510312--7985802fade2c63e61cb9ecdeccdad32b46899115a09d76c47863d729af4d0eb.jpeg
obj20,"A Refutation. By S. Morais of ""A Polemic Essay"" by Rev. Jacob M. de Solla of Montego Bay [...].",The Jewish Messenger,New York," August 23, 1861",23-Aug,,1861,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7358634--cdd0d2afb6f8a386e7f465340b5fbe0656a950096be6f9099f69cc4907b76610.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7358634--cdd0d2afb6f8a386e7f465340b5fbe0656a950096be6f9099f69cc4907b76610.jpeg/full/!200,200/0/default.jpg","Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de",34,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7358634--cdd0d2afb6f8a386e7f465340b5fbe0656a950096be6f9099f69cc4907b76610.jpeg
obj21,"A Refutation. By S. Morais of ""A Polemic Essay"" by Rev. Jacob M. de Solla of Montego Bay [...].",The Jewish Messenger,New York," September 4, 1861",4-Sep,,1861,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7987289--cf043652ac4819faa56921bcbc169e28d5fbcf27fe942ec7fce08c2d91bdce23.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7987289--cf043652ac4819faa56921bcbc169e28d5fbcf27fe942ec7fce08c2d91bdce23.jpeg/full/!200,200/0/default.jpg","Chalmers, Dr.|Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de",35,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7987289--cf043652ac4819faa56921bcbc169e28d5fbcf27fe942ec7fce08c2d91bdce23.jpeg
obj22,"Address. Delivered by the Rev. S. Morais, Minister of the Congregation Mikveh Israel, Philadelphia, on the National ""Fast Day.""",The Jewish Messenger,New York," October 4, 1861",4-Oct,,1861,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7582173--9e459ed27db40d45882f3bfc4f3d5b3a39aa8c3cf03936ad6118d342d502d097.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7582173--9e459ed27db40d45882f3bfc4f3d5b3a39aa8c3cf03936ad6118d342d502d097.jpeg/full/!200,200/0/default.jpg","Civil War|Jewish Messenger|Lincoln, Abraham",36,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7582173--9e459ed27db40d45882f3bfc4f3d5b3a39aa8c3cf03936ad6118d342d502d097.jpeg
obj23,"[Thanksgiving Day Address delivered at] the Synagogue of the Portuguese Jews, in Seventh Street, above Arch [...].",The Jewish Messenger,New York," November 28, 1861",28-Nov,,1861,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/!200,200/0/default.jpg","Civil War|Jewish Messenger|Michael, H. I.|Keystone State|Thanksgiving",37,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg
obj24,"An Address. Delivered in accordance with the late proclamation of the President of the United States. By the Rev. S. Morais, minister of the Hebrew Congregation ""Mikveh Israel,"" on the first day of Passover, at the synagogue, Seventh Street, above Arch.",The Philadelphia Inquirer,Philadelphia," April 23, 1862",23-Apr,,1862,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/!200,200/0/default.jpg","Civil War|Lincoln, Abraham",38,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg
obj25,"Address. Delivered by the Rev. S. Morais, at the Synagogue of the congregation ""Mikveh Israel,"" Philadelphia, on the Sabbath, July 4th, in response to the request of the ""Philadelphia Union League.""",The Jewish Messenger,New York," July 10, 1863",10-Jul,,1863,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg/full/!200,200/0/default.jpg",Civil War|Jewish Messenger|Union League (of Philadelphia),39,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8846988--8eb2774703d90e6eb2db2621b4e3e14a77ed446f2f7674b4b0565df56e91c821.jpeg
obj26,"A Sermon. Delivered in accordance with the Proclamation of the President of the United States, at the Synagogue in Seventh Street, above Arch, on the National Fast-day, by the Rev. S. Morais, Minister of the Congregation.",The Philadelphia Inquirer,Philadelphia," May 2, 1863",2-May,,1863,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg/full/!200,200/0/default.jpg",Bandiera brothers|Civil War|Dante Alighieri|Italy|Petrarch,40,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg
obj27,Obituary [of Sara H. Hart].,The Jewish Messenger,New York," June 5, 1863",5-Jun,,1863,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg/full/!200,200/0/default.jpg","Hart, Sara H.|Jewish Messenger",41,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9177013--f9ae1b897b85a4fa7b27210d3c7dc06f94b92fa299e74ebd2640e1ab7188221b.jpeg
