,ï»¿term,values
57,Bamberger,278
58,"Bancroft, George",
58,"Bancroft, George",331
59,Bandiera brothers,
59,Bandiera brothers,026
59,Bandiera brothers,061
60,"Bardsley, John",
60,"Bardsley, John",736
61,"Baroway, S.",
61,"Baroway, S.",805
62,"Basnage, Jacques",
62,"Basnage, Jacques",380
63,"Baum, Esther",
63,"Baum, Esther",623
64,"Bayle, Pierre",
64,"Bayle, Pierre",049
65,"Beaconsfield, Lord",
65,"Beaconsfield, Lord",746
66,"Beer, Bernard",
66,"Beer, Bernard",307
67,"Ben Labrat, Dunash",
67,"Ben Labrat, Dunash",187
67,"Ben Labrat, Dunash",188
68,"Ben Salomo, Immanuel",
68,"Ben Salomo, Immanuel",228
69,"Ben Sangadun, Jacob",
69,"Ben Sangadun, Jacob",340
70,Ben-Jacob,
70,Ben-Jacob,233
71,"Benamozegh, Elias (of Leghorn)",
71,"Benamozegh, Elias (of Leghorn)",105
71,"Benamozegh, Elias (of Leghorn)",520
71,"Benamozegh, Elias (of Leghorn)",697
71,"Benamozegh, Elias (of Leghorn)",701
72,"Benedetti, Salvatore de",
72,"Benedetti, Salvatore de",127
72,"Benedetti, Salvatore de",322
72,"Benedetti, Salvatore de",553
72,"Benedetti, Salvatore de",582
72,"Benedetti, Salvatore de",681
72,"Benedetti, Salvatore de",727
73,"Benvenisti, Dr. Nathan",
73,"Benvenisti, Dr. Nathan",204
74,"Bergh, Henry",
74,"Bergh, Henry",045
74,"Bergh, Henry",636
75,"Berkowitz, Henry",
75,"Berkowitz, Henry",720
76,"Berlin, Isaiah (of Breslau)",
76,"Berlin, Isaiah (of Breslau)",192
76,"Berlin, Isaiah (of Breslau)",208
77,"Berliner, Dr. A.",
77,"Berliner, Dr. A.",228
77,"Berliner, Dr. A.",325
77,"Berliner, Dr. A.",520
78,"Bernstein, A.",
78,"Bernstein, A.",259
79,Bikkurei Ha-Ittim,
79,Bikkurei Ha-Ittim,270
79,Bikkurei Ha-Ittim,801
80,"Bismark, Otto von",
80,"Bismark, Otto von",175
80,"Bismark, Otto von",278
80,"Bismark, Otto von",441
81,"Bloch & Co., Messrs (Publishers)",
81,"Bloch & Co., Messrs (Publishers)",295
82,"Bloch, S.: La Foi d?Israel",
82,"Bloch, S.: La Foi d?Israel",276
83,"Blumenthal, Dr. Mark",
83,"Blumenthal, Dr. Mark",310
84,"Blumenthal, Joseph",
84,"Blumenthal, Joseph",749
84,"Blumenthal, Joseph",780
84,"Blumenthal, Joseph",781
84,"Blumenthal, Joseph",820
84,"Blumenthal, Joseph",827
85,Bnai Brith,
85,Bnai Brith,164
86,"Board of Deputies, British",
86,"Board of Deputies, British",257
87,"Board of Education, Philadelphia",
87,"Board of Education, Philadelphia",133
88,"Board of Hebrew Ministers, Philadelphia",
88,"Board of Hebrew Ministers, Philadelphia",133
88,"Board of Hebrew Ministers, Philadelphia",418
89,"Bohne, Johanna von",
89,"Bohne, Johanna von",685
90,"Bomeisler, L.",
90,"Bomeisler, L.",291
91,"Bonaparte, Napoleon",
91,"Bonaparte, Napoleon",061
91,"Bonaparte, Napoleon",190
91,"Bonaparte, Napoleon",342
92,"Bonfili, Baron Treves de",
92,"Bonfili, Baron Treves de",590
93,Boston,
93,Boston,074
93,Boston,075
93,Boston,580
94,Boston Evening Traveller,
94,Boston Evening Traveller,580
94,Boston Evening Traveller,592
95,"Boston Index, The",
95,"Boston Index, The",202
96,"Breidenbach, Rev. J.",
96,"Breidenbach, Rev. J.",017
97,"Brewster, Benjamin Harris",
97,"Brewster, Benjamin Harris",629
98,"Briggs, Charles A.",
98,"Briggs, Charles A.",593
99,Brill,
99,Brill,271
100,"Brooks, Bishop Phillips",
100,"Brooks, Bishop Phillips",764
101,"Bruno, Giordano",
101,"Bruno, Giordano",707
102,"Buber, Salomon (of Lemberg)",
102,"Buber, Salomon (of Lemberg)",583
103,"Buchanan, James",
103,"Buchanan, James",280
104,"Burlingame, Mr.",
104,"Burlingame, Mr.",732
105,"Busch, Isidore",
105,"Busch, Isidore",190
105,"Busch, Isidore",201
106,Cafarel-Wilson,
106,Cafarel-Wilson,640
107,Camondo,
107,Camondo,214
107,Camondo,254
108,Cantarini Family,
108,Cantarini Family,235
108,Cantarini Family,804
109,"Cantoni, Lelio",
109,"Cantoni, Lelio",782
110,Capital punishment,
110,Capital punishment,030
110,Capital punishment,055
110,Capital punishment,535
111,"Carey, Henry C.",
111,"Carey, Henry C.",251
112,Carmel Colony,
112,Carmel Colony,691
112,Carmel Colony,757
113,"Caro, Victor",
113,"Caro, Victor",549
113,"Caro, Victor",733
114,"Carvalho, Emanuel Nunes",
114,"Carvalho, Emanuel Nunes",340
115,"Cassell, David",
115,"Cassell, David",652
116,Year Book for the Diffusion of an Accurate Knowledge of ancient and Modern Palestine,
116,Year Book for the Diffusion of an Accurate Knowledge of ancient and Modern Palestine,325
117,"Castel-Bolognesi, Angelo",
117,"Castel-Bolognesi, Angelo",265
118,"Castelar, Emilio",
118,"Castelar, Emilio",108
120,"Castellar: Castelli, David",
120,"Castellar: Castelli, David",111
120,"Castellar: Castelli, David",347
120,"Castellar: Castelli, David",697
121,"Castiglioni, Victor",
121,"Castiglioni, Victor",738
121,"Castiglioni, Victor",782
122,Castner,
122,Castner,092
123,Castner Old Rome and New Italy,
123,Castner Old Rome and New Italy,296
125,"Cavalieri, E.: Cavour, C.",
125,"Cavalieri, E.: Cavour, C.",039
125,"Cavalieri, E.: Cavour, C.",702
126,Centennial [1876],
126,Centennial [1876],144
126,Centennial [1876],145
127,Chalizah,
127,Chalizah,018
128,"Chalmers, Dr.",
128,"Chalmers, Dr.",021
129,"Chalmers, Dr. Mamzer, law of the",
129,"Chalmers, Dr. Mamzer, law of the",019
129,"Chalmers, Dr. Mamzer, law of the",020
129,"Chalmers, Dr. Mamzer, law of the",021
130,Channing,
130,Channing,380
131,Charity,
131,Charity,008
131,Charity,035
131,Charity,304
132,Charles III (King of Spain),
132,Charles III (King of Spain),267
133,"Cheyne, T. K.",
133,"Cheyne, T. K.",593
134,Chiarini,
134,Chiarini,163
134,Chiarini,643
134,Chiarini,777
134,Chiarini,778
135,"Chicago (""The White City"")",
135,"Chicago (""The White City"")",739
136,"Childs, George W.",
136,"Childs, George W.",643
136,"Childs, George W.",777
136,"Childs, George W.",778
137,Chinese Exclusion Act,
137,Chinese Exclusion Act,231
137,Chinese Exclusion Act,555
137,Chinese Exclusion Act,732
137,Chinese Exclusion Act,768
137,Chinese Exclusion Act,817
137,Chinese Exclusion Act,818
138,"Chorin, Aaron",
138,"Chorin, Aaron",036
138,"Chorin, Aaron",062
139,Christian evangelism,
139,Christian evangelism,037
139,Christian evangelism,038
139,Christian evangelism,059
140,"Chumaceiro, J.",
140,"Chumaceiro, J.",549
141,"Cincinnati (""Queen City"")",
141,"Cincinnati (""Queen City"")",217
141,"Cincinnati (""Queen City"")",277
142,Cincinnati College,
142,Cincinnati College,157
144,Civic patriotism,
144,Civic patriotism,794
145,Civil War,
145,Civil War,022
145,Civil War,023
145,Civil War,024
145,Civil War,025
145,Civil War,026
145,Civil War,028
146,"Cleveland, Grover",
146,"Cleveland, Grover",735
147,Cloakmakers Strike,
147,Cloakmakers Strike,718
148,Cloakmakers Union,
148,Cloakmakers Union,718
149,"Cobden, William",
149,"Cobden, William",061
150,Cochebe Yizchak,
150,Cochebe Yizchak,783
151,"Cogalniceano, Minister",
151,"Cogalniceano, Minister",262
152,"Cohen, Abraham Hyman",
152,"Cohen, Abraham Hyman",340
153,"Cohen, Arthur",
153,"Cohen, Arthur",752
154,"Cohen, Emanuel (of Scranton)",
154,"Cohen, Emanuel (of Scranton)",487
154,"Cohen, Emanuel (of Scranton)",489
155,"Cohen, Hartwig",
155,"Cohen, Hartwig",340
156,"Cohen, Henry",
156,"Cohen, Henry",425
156,"Cohen, Henry",797
157,"Cohen, Jacob Raphael",
157,"Cohen, Jacob Raphael",340
158,Cohens,
158,Cohens,340
159,"Cohn, Albert",
159,"Cohn, Albert",186
159,"Cohn, Albert",226
159,"Cohn, Albert",239
159,"Cohn, Albert",239
159,"Cohn, Albert",270
159,"Cohn, Albert",287
159,"Cohn, Albert",288
159,"Cohn, Albert",520
159,"Cohn, Albert",701
160,"Colenso, John William",
160,"Colenso, John William",529
160,"Colenso, John William",725
161,"Condillac, Etienne Bonnot de",
161,"Condillac, Etienne Bonnot de",193
162,"Confederacy, The",
162,"Confederacy, The",029
165,Congress of Berlin,
165,Congress of Berlin,219
166,"Congress of Orientalists, Florence",
166,"Congress of Orientalists, Florence",322
167,Adas Israel,
167,Adas Israel,071
168,Bene Yeshurun,
168,Bene Yeshurun,181
169,Beth Israel,
169,Beth Israel,411
169,Beth Israel,413
169,Beth Israel,772
170,Beth el Emeth,
170,Beth el Emeth,411
170,Beth el Emeth,413
171,Boulogne,
171,Boulogne,103
172,Cherry Street,
172,Cherry Street,291
173,Crown Street,
173,Crown Street,017
174,Emunath Israel-Oheb Shalom,
174,Emunath Israel-Oheb Shalom,763
175,Hamburg,
175,Hamburg,062
176,Julianna Street,
176,Julianna Street,017
177,Keneseth Israel,
177,Keneseth Israel,310
177,Keneseth Israel,373
177,Keneseth Israel,467
178,Leghorn,
178,Leghorn,017
180,"Moses Montefiore, New York",
180,"Moses Montefiore, New York",624
180,"Moses Montefiore, New York",630
182,Rodeph Shalom,
182,Rodeph Shalom,589
182,Rodeph Shalom,728
183,Shaarei Shamayim (London),
183,Shaarei Shamayim (London),018
184,Spanish and Portuguese synagogue in Leghorn and Amsterdam,
184,Spanish and Portuguese synagogue in Leghorn and Amsterdam,351
185,Spanish and Portuguese synagogue in New York (Shearith Israel),
185,Spanish and Portuguese synagogue in New York (Shearith Israel),556
185,Spanish and Portuguese synagogue in New York (Shearith Israel),563
185,Spanish and Portuguese synagogue in New York (Shearith Israel),799
186,Tiferet Israel,
186,Tiferet Israel,743
187,"Constitution, American",
187,"Constitution, American",007
187,"Constitution, American",047
187,"Constitution, American",058
188,"Constitution, American: Christianizing",
188,"Constitution, American: Christianizing",047
188,"Constitution, American: Christianizing",058
189,Cooper Union,
189,Cooper Union,638
190,Copperheads,
190,Copperheads,028
191,Corbin,
191,Corbin,238
192,Corri?re Israelitico (of Trieste),
192,Corri?re Israelitico (of Trieste),233
192,Corri?re Israelitico (of Trieste),602
192,Corri?re Israelitico (of Trieste),682
192,Corri?re Israelitico (of Trieste),683
192,Corri?re Israelitico (of Trieste),708
193,Corri?re di Roma,
193,Corri?re di Roma,606
194,Cortes,
194,Cortes,262
196,"Coucy, Moses of: Semag (Sefer Mitzvot Gadol)",
196,"Coucy, Moses of: Semag (Sefer Mitzvot Gadol)",360
197,"Craig, James A.",
197,"Craig, James A.",607
198,"Crane, Oliver Turnball",
198,"Crane, Oliver Turnball",607
199,Credit-Mobilier,
199,Credit-Mobilier,640
200,Cremation,
200,Cremation,110
200,Cremation,264
201,"Cremieux, Isaac Adolphe",
201,"Cremieux, Isaac Adolphe",214
201,"Cremieux, Isaac Adolphe",254
201,"Cremieux, Isaac Adolphe",257
201,"Cremieux, Isaac Adolphe",258
201,"Cremieux, Isaac Adolphe",260
201,"Cremieux, Isaac Adolphe",262
201,"Cremieux, Isaac Adolphe",411
201,"Cremieux, Isaac Adolphe",520
201,"Cremieux, Isaac Adolphe",674
201,"Cremieux, Isaac Adolphe",752
202,"Crescas, Hasdai",
202,"Crescas, Hasdai",571
203,"Crispi, Francesco",
203,"Crispi, Francesco",640
204,Cuba,
204,Cuba,108
205,"D?Aboddie, M.",
205,"D?Aboddie, M.",186
206,"D?Harcourt, Duke",
206,"D?Harcourt, Duke",061
207,"Daly, Charles P.",
207,"Daly, Charles P.",351
208,Dante Alighieri,
208,Dante Alighieri,026
209,"Davids, Arthur Lumley",
209,"Davids, Arthur Lumley",181
209,"Davids, Arthur Lumley",184
227,Deborah,
227,Deborah,372
227,Deborah,460
228,"Delitzch, Franz",
228,"Delitzch, Franz",039
229,"Dembo, J. A.",
229,"Dembo, J. A.",789
230,"Derenburg, Joseph",
230,"Derenburg, Joseph",177
230,"Derenburg, Joseph",437
230,"Derenburg, Joseph",607
231,"Deutsch, Dr.",
231,"Deutsch, Dr.",310
232,"Deutsch, Emanuel",
232,"Deutsch, Emanuel",163
233,"Disasters, natural & man-made",
233,"Disasters, natural & man-made",002
233,"Disasters, natural & man-made",031
233,"Disasters, natural & man-made",042
233,"Disasters, natural & man-made",044
233,"Disasters, natural & man-made",061
233,"Disasters, natural & man-made",074
233,"Disasters, natural & man-made",075
233,"Disasters, natural & man-made",358
233,"Disasters, natural & man-made",406
233,"Disasters, natural & man-made",457
233,"Disasters, natural & man-made",513
233,"Disasters, natural & man-made",622
234,Divrei Shir,
234,Divrei Shir,268
235,"Donnolo, Sabbatei",
235,"Donnolo, Sabbatei",111
236,"Donolo, I.",
236,"Donolo, I.",111
236,"Donolo, I.",190
237,"Drachman, Dr. Bernhard",
237,"Drachman, Dr. Bernhard",601
237,"Drachman, Dr. Bernhard",638
237,"Drachman, Dr. Bernhard",664
237,"Drachman, Dr. Bernhard",749
237,"Drachman, Dr. Bernhard",820
237,"Drachman, Dr. Bernhard",827
238,"Drexel, A. J.",
238,"Drexel, A. J.",313
239,"Dropsie, Moses A.",
239,"Dropsie, Moses A.",435
240,Dukes family,
240,Dukes family,036
240,Dukes family,204
241,"Edelman, S. R.",
241,"Edelman, S. R.",652
242,"Eger, Akiba",
242,"Eger, Akiba",447
243,"Ehrenreich, Moses Leve (of Rome)",
243,"Ehrenreich, Moses Leve (of Rome)",583
243,"Ehrenreich, Moses Leve (of Rome)",590
243,"Ehrenreich, Moses Leve (of Rome)",641
244,"Eichholz, Adolph",
244,"Eichholz, Adolph",670
245,"Einhorn, Dr.",
245,"Einhorn, Dr.",621
246,"Eisenmenger, J. A.",
246,"Eisenmenger, J. A.",163
247,Elias of Vilna [Elijah / Vilna Gaon],
247,Elias of Vilna [Elijah / Vilna Gaon],447
248,"Eliot, George: Daniel Deronda",
248,"Eliot, George: Daniel Deronda",198
249,Elizabethgrad,
249,Elizabethgrad,304
250,"Elkin, Dr. M.",
250,"Elkin, Dr. M.",071
250,"Elkin, Dr. M.",090
250,"Elkin, Dr. M.",259
250,"Elkin, Dr. M.",418
251,Emanuel,
251,Emanuel,190
252,Emanuel Preparatory School,
252,Emanuel Preparatory School,761
253,Emanuel Theological Seminary,
253,Emanuel Theological Seminary,761
254,Emek Achor,
254,Emek Achor,783
255,Emigrant Aid Society of New York,
255,Emigrant Aid Society of New York,320
256,Endelmann family,
256,Endelmann family,036
257,English antagonism,
257,English antagonism,007
258,Entente cordiale,
258,Entente cordiale,061
259,Episcopal Clerical Brotherhood,
259,Episcopal Clerical Brotherhood,752
260,"Eppinger, W.",
260,"Eppinger, W.",217
261,"Epstein, Dr.",
261,"Epstein, Dr.",217
261,"Epstein, Dr.",652
262,Equestrian statues,
262,Equestrian statues,643
263,Erekh Millin,
263,Erekh Millin,801
265,"Etheridge, J. W.: Pentateuchal Targumim",
265,"Etheridge, J. W.: Pentateuchal Targumim",208
266,"Etting, Ruben",
266,"Etting, Ruben",017
268,"Euchel, Isaac: Life of Mendelssohn",
268,"Euchel, Isaac: Life of Mendelssohn",196
269,"Evening Call, The",
269,"Evening Call, The",367
270,Everett,
270,Everett,029
271,"Ewald, H.",
271,"Ewald, H.",039
271,"Ewald, H.",194
271,"Ewald, H.",313
272,"Ezekial, Moses",
272,"Ezekial, Moses",164
272,"Ezekial, Moses",166
272,"Ezekial, Moses",606
272,"Ezekial, Moses",755
273,Falashas,
273,Falashas,186
273,Falashas,421
273,Falashas,479
273,Falashas,480
273,Falashas,481
273,Falashas,482
273,Falashas,483
273,Falashas,484
273,Falashas,485
274,"Faustmann, Bernhardt H.",
274,"Faustmann, Bernhardt H.",308
275,"Feinberg, Isaac",
275,"Feinberg, Isaac",829
276,"Felsenthal, Bernhard (Rabbi)",
276,"Felsenthal, Bernhard (Rabbi)",607
276,"Felsenthal, Bernhard (Rabbi)",805
277,Female Beneficial Society,
277,Female Beneficial Society,249
278,Female Benevolent Association,
278,Female Benevolent Association,291
279,Female Hebrew Benevolent Society,
279,Female Hebrew Benevolent Society,410
279,Female Hebrew Benevolent Society,647
279,Female Hebrew Benevolent Society,653
280,Ferarra,
280,Ferarra,328
281,"Filipowsky, Herschell",
281,"Filipowsky, Herschell",188
282,"Finzi, Mrs. Judith",
282,"Finzi, Mrs. Judith",536
283,"Fiorentino, Abram & Samuel",
283,"Fiorentino, Abram & Samuel",681
284,"Fleischman, Rev. S. M.",
284,"Fleischman, Rev. S. M.",829
285,"Florance, Hannah",
285,"Florance, Hannah",291
286,Foltischeni (Moldavia),
286,Foltischeni (Moldavia),262
287,"Fontana, Ferdinando",
287,"Fontana, Ferdinando",710
288,"Formiggini, Saul",
288,"Formiggini, Saul",191
288,"Formiggini, Saul",194
288,"Formiggini, Saul",203
288,"Formiggini, Saul",204
288,"Formiggini, Saul",782
289,Fornakari:,
289,Fornakari:,316
290,Fould,
290,Fould,262
290,Fould,708
290,Fould,752
291,"Fox, Daniel M.",
291,"Fox, Daniel M.",071
292,"Fox, George",
292,"Fox, George",309
293,"France, Central Consistory of",
293,"France, Central Consistory of",273
294,"Franchetti, Alberto",
294,"Franchetti, Alberto",709
294,"Franchetti, Alberto",710
295,"Franchetti, Augusto",
295,"Franchetti, Augusto",709
296,"Franchetti, Guiseppe",
296,"Franchetti, Guiseppe",709
297,"Franchetti, Odoardo",
297,"Franchetti, Odoardo",709
298,"Francis I, King",
298,"Francis I, King",204
299,"Francis Joseph, Emperor of Austro-Hungary",
299,"Francis Joseph, Emperor of Austro-Hungary",355
300,Franck,
300,Franck,262
301,Franco-Prussian War,
301,Franco-Prussian War,057
301,Franco-Prussian War,061
302,"Frankel, I.",
302,"Frankel, I.",549
303,"Frankel, Jacob",
303,"Frankel, Jacob",259
303,"Frankel, Jacob",589
304,"Frankel, Lee K.",
304,"Frankel, Lee K.",797
305,"Frankel, Zecheriah",
305,"Frankel, Zecheriah",226
305,"Frankel, Zecheriah",233
305,"Frankel, Zecheriah",283
306,"Frankl, Ludwig A.",
306,"Frankl, Ludwig A.",783
307,"Franklin, Benjamin",
307,"Franklin, Benjamin",142
308,"Franks, Levi",
308,"Franks, Levi",017
309,"Franz Ferdinand, Archduke",
309,"Franz Ferdinand, Archduke",190
310,Fraud charge,
310,Fraud charge,038
311,"Frazer, Prof.",
311,"Frazer, Prof.",400
312,Frederic the Great,
312,Frederic the Great,010
313,"Frederic, Harold",
313,"Frederic, Harold",736
314,Frederick III of Prussia,
314,Frederick III of Prussia,637
315,"Freeman, E. A.",
315,"Freeman, E. A.",182
316,"Friedenwald, A.",
316,"Friedenwald, A.",085
317,"Friedman, Emil",
317,"Friedman, Emil",793
317,"Friedman, Emil",803
318,Fuel Society,
318,Fuel Society,249
319,Galicia,
319,Galicia,049
320,"Gans, Daniel",
320,"Gans, Daniel",008
321,"Gans, Solomon",
321,"Gans, Solomon",829
322,"Garfield, James Abram",
322,"Garfield, James Abram",293
322,"Garfield, James Abram",297
322,"Garfield, James Abram",298
322,"Garfield, James Abram",426
322,"Garfield, James Abram",427
323,"Garibaldi, Guiseppe",
323,"Garibaldi, Guiseppe",057
324,Gazzetta de Montova,
324,Gazzetta de Montova,708
325,"Geiger, Abraham",
325,"Geiger, Abraham",226
325,"Geiger, Abraham",285
326,Juedische Zeitschrift,
326,Juedische Zeitschrift,206
327,Nachgelassene Schriften,
327,Nachgelassene Schriften,204
328,Urschrift,
328,Urschrift,204
329,"Gellat, Roland B.",
329,"Gellat, Roland B.",720
330,"George, Henry",
330,"George, Henry",651
331,Gersonides,
331,Gersonides,564
332,"Gesenius, H.",
332,"Gesenius, H.",040
332,"Gesenius, H.",194
